Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall
1,0.6320,0.6333,0.6106,0.4398,0.7500,0.7541,0.8214,0.6970
2,0.4113,0.8333,0.8261,0.3741,0.8500,0.8657,0.8529,0.8788
3,0.3953,0.8250,0.8190,0.6821,0.7333,0.6800,1.0000,0.5152
4,0.2999,0.8750,0.8707,0.4382,0.8667,0.8788,0.8788,0.8788
5,0.2851,0.9042,0.9004,0.3278,0.8500,0.8571,0.9000,0.8182
6,0.3647,0.8750,0.8729,0.4076,0.8833,0.8889,0.9333,0.8485
7,0.1705,0.9417,0.9421,0.3053,0.9167,0.9206,0.9667,0.8788
8,0.1400,0.9542,0.9532,0.3535,0.9000,0.9118,0.8857,0.9394
9,0.2461,0.9333,0.9322,0.3496,0.8667,0.8710,0.9310,0.8182
10,0.1564,0.9542,0.9532,0.3411,0.8833,0.8889,0.9333,0.8485
