Epoch,Accuracy,Loss,F1,Phase,Model
1,0.6167,0.6828,0.5929,Train,EfficientNet-B0
2,0.6917,0.6549,0.6542,Train,EfficientNet-B0
3,0.7458,0.6101,0.7163,Train,EfficientNet-B0
4,0.7083,0.5872,0.7154,Train,EfficientNet-B0
5,0.7833,0.5391,0.792,Train,EfficientNet-B0
6,0.7792,0.5143,0.7819,Train,EfficientNet-B0
7,0.7875,0.4621,0.7952,Train,EfficientNet-B0
8,0.8042,0.4554,0.7983,Train,EfficientNet-B0
9,0.8375,0.4331,0.8368,Train,EfficientNet-B0
10,0.7542,0.5008,0.7739,Train,EfficientNet-B0
1,0.6833,0.6674,0.5581,Validation,EfficientNet-B0
2,0.6833,0.6454,0.6415,Validation,EfficientNet-B0
3,0.6667,0.6224,0.6429,Validation,EfficientNet-B0
4,0.6333,0.6128,0.5417,Validation,EfficientNet-B0
5,0.6333,0.5999,0.5769,Validation,EfficientNet-B0
6,0.65,0.5939,0.6441,Validation,EfficientNet-B0
7,0.6333,0.5763,0.6207,Validation,EfficientNet-B0
8,0.6167,0.5956,0.6102,Validation,EfficientNet-B0
9,0.6,0.591,0.6129,Validation,EfficientNet-B0
10,0.65,0.6033,0.6182,Validation,EfficientNet-B0
1,0.6333,0.632,0.6106,Train,ResNet-18
2,0.8333,0.4113,0.8261,Train,ResNet-18
3,0.825,0.3953,0.819,Train,ResNet-18
4,0.875,0.2999,0.8707,Train,ResNet-18
5,0.9042,0.2851,0.9004,Train,ResNet-18
6,0.875,0.3647,0.8729,Train,ResNet-18
7,0.9417,0.1705,0.9421,Train,ResNet-18
8,0.9542,0.14,0.9532,Train,ResNet-18
9,0.9333,0.2461,0.9322,Train,ResNet-18
10,0.9542,0.1564,0.9532,Train,ResNet-18
1,0.75,0.4398,0.7541,Validation,ResNet-18
2,0.85,0.3741,0.8657,Validation,ResNet-18
3,0.7333,0.6821,0.68,Validation,ResNet-18
4,0.8667,0.4382,0.8788,Validation,ResNet-18
5,0.85,0.3278,0.8571,Validation,ResNet-18
6,0.8833,0.4076,0.8889,Validation,ResNet-18
7,0.9167,0.3053,0.9206,Validation,ResNet-18
8,0.9,0.3535,0.9118,Validation,ResNet-18
9,0.8667,0.3496,0.871,Validation,ResNet-18
10,0.8833,0.3411,0.8889,Validation,ResNet-18
